branch_id,branch_name,address,city,state,zip_code,phone_number
1,الفرع رقم 1,"9391 دانية Parkway Suite 174
West عبد الباريborough, CT 03318",South علي,Louisiana,50213,483-514-1680x5948
2,الفرع رقم 2,"034 آل قصير Inlet Suite 533
أريجchester, OK 58478",North شهب,Maine,44434,910-635-1116
3,الفرع رقم 3,"0532 فصيل Pass Suite 558
مرعيfurt, IL 35103",آل بن ظافرmouth,Hawaii,03578,(643)475-1128x468
4,الفرع رقم 4,"6023 آل مقطة Spring Suite 295
بهاءborough, PA 84042",إليناview,Missouri,04560,838-351-5347x7873
5,الفرع رقم 5,"28064 ثاقب Pass
آل عطفةstad, VA 82173",رستمtown,Illinois,33568,(833)421-2922x4499
6,الفرع رقم 6,"6621 المشاولة Well
الحكيرstad, NC 92116",East شاطر,Illinois,81833,+1-231-874-2569x2184
7,الفرع رقم 7,"174 أبا الخيل Radial Apt. 347
West سعود, OH 03647",الشايعville,Missouri,24044,(708)339-5429x1146
8,الفرع رقم 8,"97220 فارع Mews Apt. 623
عبد الغنيbury, VT 81916",قنوعhaven,Arizona,97010,704-347-0602x635
9,الفرع رقم 9,"40849 وضّاح Gateway
آل بن لافيton, MT 34743",Lake سليمshire,Florida,20538,(576)501-8656x96380
10,الفرع رقم 10,"168 منيب Extensions
كافورton, VT 09377",العقيلbury,New Hampshire,19736,+1-248-751-0616x7905
