payment_id,loan_id,payment_date,amount,principal_paid,interest_paid
1,1,2020-05-29,4926.39,3305.51,1620.88
2,1,2020-06-23,4343.64,3717.42,626.22
3,1,2020-07-18,5207.06,3241.25,1965.81
4,1,2020-08-24,5176.84,3360.12,1816.72
5,1,2020-09-17,4313.14,3013.36,1299.78
6,1,2020-10-21,5612.96,2962.88,2650.08
7,1,2020-11-22,5629.19,4346.62,1282.57
8,2,2022-10-06,8598.5,6629.25,1969.25
9,2,2022-11-07,6763.55,3640.34,3123.21
10,2,2022-12-09,10043.88,7629.8,2414.08
11,2,2023-01-08,9345.05,7945.33,1399.72
12,2,2023-02-04,7954.84,5686.95,2267.89
13,2,2023-03-12,8035.74,6723.33,1312.41
14,2,2023-04-15,7430.86,5106.88,2323.98
15,2,2023-05-03,9287.36,5655.16,3632.2
16,2,2023-06-20,9042.0,5123.27,3918.73
17,2,2023-07-17,7969.86,4394.21,3575.65
18,2,2023-08-14,9246.97,5779.33,3467.64
19,2,2023-09-15,7835.36,6093.09,1742.27
20,2,2023-10-13,9176.76,8247.66,929.1
21,2,2023-11-08,9005.2,7154.59,1850.61
22,2,2023-12-03,8241.54,4183.15,4058.39
23,2,2024-01-17,8970.14,4575.19,4394.95
24,2,2024-02-12,6925.51,4326.71,2598.8
25,3,2022-12-02,18929.87,12187.47,6742.4
26,3,2023-01-05,19073.48,13578.13,5495.35
27,3,2023-01-31,13661.05,11480.16,2180.89
28,3,2023-03-11,19649.57,14528.12,5121.45
29,3,2023-04-07,15909.86,8547.63,7362.23
30,3,2023-04-26,18388.16,15372.73,3015.43
31,3,2023-06-04,15739.06,9888.13,5850.93
32,3,2023-06-25,13892.79,10642.21,3250.58
33,3,2023-07-23,15451.51,12561.32,2890.19
34,3,2023-08-29,16691.45,14259.91,2431.54
35,3,2023-10-07,14336.86,8387.2,5949.66
36,3,2023-10-25,15357.38,13080.92,2276.46
37,3,2023-12-04,13857.69,12099.95,1757.74
38,3,2023-12-20,17934.23,13687.01,4247.22
39,3,2024-01-20,16745.97,12475.93,4270.04
40,3,2024-02-25,16780.84,12385.16,4395.68
41,3,2024-04-05,19183.65,13781.87,5401.78
42,4,2021-05-20,6010.74,3733.01,2277.73
43,4,2021-06-10,4489.55,3025.75,1463.8
44,4,2021-07-17,5518.4,4190.26,1328.14
45,4,2021-08-17,5351.57,3178.23,2173.34
46,4,2021-09-19,6076.3,4326.98,1749.32
47,5,2025-03-18,11636.6,8857.57,2779.03
48,5,2025-03-30,12260.21,9632.19,2628.02
49,5,2025-04-30,9187.94,6190.02,2997.92
50,5,2025-06-14,12165.09,7612.53,4552.56
51,5,2025-07-02,10244.1,8816.55,1427.55
52,6,2020-07-18,1585.87,1117.83,468.04
53,6,2020-08-17,1743.36,1468.44,274.92
54,6,2020-09-21,1711.06,1512.94,198.12
55,6,2020-10-25,1879.34,994.52,884.82
56,6,2020-11-17,1747.81,1286.43,461.38
57,6,2020-12-23,1542.35,1219.91,322.44
58,6,2021-01-19,1885.61,1313.86,571.75
