transaction_id,account_id,transaction_type,amount,transaction_date,description,status,recipient_account_id
1,594,سحب,3012.53,2024-06-17 01:13:18.188640,Aut eos repellendus saepe quaerat.,ناجحة,
2,594,دفع فواتير,195.15,2024-05-01 05:01:41.304057,Cupiditate corrupti maxime animi delectus.,فاشلة,
3,310,تحويل,14.51,2019-06-11 07:24:42.593072,Laudantium deleniti pariatur id saepe labore.,معلقة,746.0
4,297,تحويل,290.61,2024-12-08 23:09:27.522204,Suscipit magni ipsam eligendi.,معلقة,364.0
5,505,إيداع,3089.36,2024-06-29 12:03:55.594193,Commodi unde vero.,فاشلة,
6,443,تحويل,3977.01,2024-03-24 23:20:01.635997,Rerum dolore tenetur reprehenderit fugit cum ullam.,ناجحة,133.0
7,7,إيداع,4565.76,2024-12-16 15:45:35.400410,Vero molestias dolore libero.,ناجحة,
8,295,سحب,3731.48,2024-08-07 13:20:59.821476,Sunt magnam ea odio iure eum sint.,فاشلة,
9,703,دفع فواتير,3522.47,2023-09-08 07:53:42.765862,Libero alias minus culpa.,فاشلة,
10,25,دفع فواتير,3865.95,2025-05-22 06:10:42.320517,Hic aperiam magni blanditiis nisi architecto ad.,ناجحة,
11,347,دفع فواتير,3132.81,2025-04-05 21:37:41.121974,Labore repellendus inventore magnam sapiente in facilis cupiditate.,ناجحة,
12,518,سحب,805.51,2023-10-15 10:54:15.599631,Molestiae natus magni incidunt maxime.,معلقة,
13,585,تحويل,290.81,2024-08-13 03:23:45.675348,Et fugit commodi maxime reiciendis ratione aperiam.,معلقة,439.0
14,513,دفع فواتير,1155.3,2020-05-05 10:28:02.762376,Tempore distinctio error necessitatibus praesentium architecto odit.,ناجحة,
15,52,سحب,3650.04,2025-06-29 00:07:38.641771,Consectetur necessitatibus harum omnis nihil itaque laborum.,فاشلة,
16,1009,إيداع,4787.0,2024-04-19 12:25:11.345830,Enim nemo non ad rem iusto.,معلقة,
17,250,تحويل,943.16,2025-07-06 00:11:23.029622,Quidem vel nobis est.,ناجحة,559.0
18,336,دفع فواتير,4480.22,2024-07-01 12:54:35.054794,Optio explicabo dolores esse possimus ipsam asperiores.,معلقة,
19,842,تحويل,1117.96,2022-09-04 19:25:28.642644,Rerum eligendi voluptates natus voluptatum sequi dolorem.,ناجحة,498.0
20,7,سحب,614.34,2024-11-03 08:25:50.804264,At quisquam voluptate fugit.,فاشلة,
21,332,إيداع,737.72,2025-07-25 21:01:00.469559,Occaecati expedita iusto quasi beatae.,معلقة,
22,2,سحب,3198.09,2022-10-31 14:24:09.625566,Cum quasi dignissimos beatae iure porro.,ناجحة,
23,865,إيداع,4755.85,2025-05-17 21:16:50.342856,Assumenda quas vel autem ullam odit voluptate.,معلقة,
24,450,دفع فواتير,707.1,2024-08-11 22:32:09.439371,Porro porro velit nemo odit hic modi.,ناجحة,
25,36,دفع فواتير,272.89,2025-07-24 00:38:14.114914,Veritatis illo soluta eligendi rerum adipisci.,معلقة,
26,370,تحويل,3939.54,2025-07-19 17:05:53.843758,Facilis maxime aspernatur esse commodi vero.,ناجحة,698.0
27,190,تحويل,536.52,2024-03-16 15:28:43.626732,Explicabo ipsa accusamus vero.,ناجحة,794.0
28,670,سحب,4718.67,2023-06-15 15:13:31.472158,Inventore soluta nemo hic.,فاشلة,
29,510,إيداع,3089.02,2025-06-01 14:02:32.271055,Explicabo reiciendis perspiciatis possimus doloremque ipsa.,ناجحة,
30,167,دفع فواتير,4530.92,2025-02-03 03:49:39.904850,Illum minima distinctio esse perspiciatis velit natus sapiente.,فاشلة,
31,638,دفع فواتير,4613.64,2025-03-12 13:09:27.883384,Dicta rerum itaque inventore.,فاشلة,
32,136,إيداع,3336.64,2025-04-26 16:19:56.146204,Fugit fuga doloribus unde quae eos expedita.,معلقة,
33,417,إيداع,4041.86,2025-05-22 22:05:59.078969,Nihil nesciunt dolorem iusto debitis.,فاشلة,
34,180,دفع فواتير,812.04,2024-06-12 07:11:17.477970,Molestias vitae consequatur nisi.,ناجحة,
35,935,دفع فواتير,3375.0,2025-07-02 10:13:54.823113,Aliquam quod dolores iure deserunt perspiciatis qui.,ناجحة,
36,761,سحب,385.28,2023-08-08 18:09:13.436568,Iusto aperiam harum rem officiis eveniet.,معلقة,
37,147,تحويل,4187.16,2024-10-13 23:19:17.146899,Accusantium nisi veritatis nostrum laudantium repellat.,ناجحة,442.0
38,329,سحب,2393.42,2022-08-14 06:47:06.421999,Quis odit explicabo eius.,ناجحة,
39,772,إيداع,4551.42,2025-04-16 00:46:06.812592,Aperiam consequatur accusamus magnam consequuntur.,ناجحة,
40,868,إيداع,1233.71,2025-05-24 12:22:06.665699,Minus id cumque doloremque error.,ناجحة,
41,706,دفع فواتير,4676.48,2025-07-25 12:04:33.835765,Nihil nam placeat sed minima aliquid.,معلقة,
42,844,سحب,3638.17,2025-07-13 05:33:37.511968,Praesentium eum debitis minus quos cum quo numquam.,ناجحة,
43,819,تحويل,265.13,2025-01-15 03:11:11.641359,Quas delectus enim laboriosam praesentium laborum est.,ناجحة,581.0
44,553,إيداع,1295.5,2024-06-25 11:31:02.025893,Esse doloribus laudantium consectetur a porro.,ناجحة,
45,419,دفع فواتير,570.28,2024-05-19 11:49:08.057444,Corrupti alias alias a possimus voluptatem cupiditate.,معلقة,
46,463,دفع فواتير,223.3,2025-03-04 17:57:44.201837,Eveniet quas temporibus reiciendis illo ratione.,ناجحة,
47,686,إيداع,3973.67,2025-02-27 11:25:51.203263,Nesciunt voluptatum consequatur sed deleniti.,معلقة,
48,260,سحب,140.28,2024-12-21 21:15:36.852767,In non mollitia maxime veritatis nobis.,معلقة,
49,586,إيداع,1551.4,2024-07-11 08:22:07.498336,Odit hic enim occaecati.,فاشلة,
50,435,دفع فواتير,2678.04,2024-07-25 17:14:34.539983,A reiciendis voluptas accusantium.,فاشلة,
51,731,تحويل,44.42,2024-06-19 23:02:16.877189,Culpa possimus quos magni perferendis.,فاشلة,426.0
52,301,إيداع,2400.58,2025-05-12 11:07:00.730288,Possimus odio atque minus.,معلقة,
53,134,إيداع,609.51,2025-05-23 06:35:29.000800,Rem quidem aperiam quisquam.,فاشلة,
54,153,دفع فواتير,4110.92,2025-05-21 17:45:41.406389,Dolores ullam asperiores.,معلقة,
55,324,تحويل,3199.74,2025-04-29 12:44:21.980369,Rerum iste delectus nulla dignissimos.,معلقة,496.0
56,35,سحب,1176.42,2025-04-23 01:03:31.622816,Quo nihil corrupti asperiores.,فاشلة,
57,317,سحب,4579.14,2024-06-05 08:53:30.663372,Facere numquam ea deleniti.,معلقة,
58,412,تحويل,4012.31,2024-10-21 17:25:03.217055,Cupiditate enim eum.,معلقة,70.0
59,722,سحب,1760.26,2025-01-02 10:52:24.492910,Inventore pariatur facilis est ducimus explicabo.,ناجحة,
60,1013,سحب,327.19,2020-03-10 04:47:58.203957,Beatae recusandae rem ea molestias dignissimos.,فاشلة,
61,991,إيداع,3545.35,2024-10-08 05:24:35.998715,Deserunt quod aperiam ex.,ناجحة,
62,252,دفع فواتير,2915.89,2023-11-25 20:59:31.107591,Ullam explicabo ipsam explicabo.,ناجحة,
63,147,تحويل,450.41,2025-02-26 09:41:04.208476,Iure eligendi natus illo distinctio exercitationem suscipit dolorum.,ناجحة,191.0
64,257,دفع فواتير,3493.45,2021-12-02 06:46:08.341413,Eius sunt officiis vel sint vitae.,معلقة,
65,851,دفع فواتير,1504.91,2023-11-02 05:30:56.888773,Tenetur tempore occaecati temporibus repellat commodi hic possimus.,معلقة,
66,774,دفع فواتير,3009.25,2024-08-04 17:48:19.189562,Vel similique magnam culpa iusto ea temporibus sed.,ناجحة,
67,927,تحويل,2422.74,2023-12-27 02:22:01.097918,Ratione atque tempora fugiat numquam.,فاشلة,351.0
68,452,سحب,2788.67,2025-04-24 00:33:28.812234,Amet vitae delectus architecto labore odit.,معلقة,
69,812,سحب,3861.36,2023-04-07 06:10:32.462175,Reprehenderit distinctio magni possimus voluptate vero veniam animi.,معلقة,
70,285,سحب,4847.27,2023-12-09 05:29:03.576200,Et itaque exercitationem quo.,فاشلة,
71,882,سحب,4025.5,2025-06-21 12:30:10.670598,Et deleniti error laudantium provident velit harum minima.,ناجحة,
72,182,سحب,2058.66,2019-08-19 12:25:04.395304,Numquam architecto fuga placeat labore quo eveniet.,ناجحة,
73,854,سحب,1912.73,2025-04-21 20:37:27.268540,Eligendi laboriosam ratione dolorum deserunt odio.,فاشلة,
74,881,دفع فواتير,4624.23,2025-06-06 07:15:26.952302,Ex dignissimos fuga aliquid sapiente excepturi.,ناجحة,
75,523,سحب,4424.74,2024-12-17 18:25:19.839701,Ducimus nam iure aperiam.,ناجحة,
76,954,سحب,4841.96,2025-03-20 16:19:39.690636,Occaecati iusto rerum incidunt.,معلقة,
77,337,إيداع,490.91,2023-11-30 23:03:14.925061,Repudiandae suscipit officiis enim assumenda minima architecto.,ناجحة,
78,265,سحب,4230.17,2024-02-06 15:10:34.034477,Dolorum provident blanditiis numquam iste earum.,ناجحة,
79,681,إيداع,1068.54,2022-02-04 18:39:59.597647,Consequuntur sequi voluptatibus eos.,ناجحة,
80,441,إيداع,1761.72,2025-05-10 18:22:05.242324,Assumenda nesciunt esse iste.,معلقة,
81,678,سحب,4024.39,2023-06-15 09:12:38.548183,Rem eaque fuga ea ipsam.,ناجحة,
82,737,تحويل,1526.65,2023-02-02 10:21:22.846826,Dignissimos maxime impedit enim ad.,معلقة,793.0
83,189,دفع فواتير,2838.4,2025-03-24 17:29:52.112825,Velit itaque provident voluptatem.,فاشلة,
84,898,دفع فواتير,4379.09,2024-07-15 02:16:13.614049,Eaque eveniet nobis error at eligendi eum et.,معلقة,
85,244,تحويل,1305.36,2025-06-23 14:51:45.889121,Maxime doloremque ut ea voluptatibus dolorum.,معلقة,855.0
86,193,تحويل,368.48,2025-07-18 16:00:12.062591,Quaerat reprehenderit impedit facilis doloribus deserunt praesentium.,فاشلة,653.0
87,484,تحويل,3915.74,2023-11-17 18:23:29.467638,At nisi itaque possimus cumque.,ناجحة,693.0
88,250,سحب,1395.4,2025-07-20 06:51:56.219798,Accusamus aut consectetur saepe dolorem quos.,فاشلة,
89,259,دفع فواتير,518.84,2025-04-27 02:20:34.929597,Quaerat debitis fugiat nemo ut dicta incidunt.,فاشلة,
90,766,دفع فواتير,3340.45,2025-04-05 20:58:40.053283,Architecto fuga atque modi quidem.,ناجحة,
91,2,سحب,2303.43,2023-09-15 08:20:58.853633,Optio id impedit odit placeat laboriosam reprehenderit voluptates.,ناجحة,
92,357,تحويل,4740.78,2021-04-06 08:01:23.042054,Error nam neque deserunt dolores.,فاشلة,319.0
93,987,إيداع,1008.15,2022-11-29 10:44:49.557091,Dolorum praesentium architecto illum natus sequi.,معلقة,
94,840,سحب,2394.8,2020-12-14 21:34:33.666824,Dolorem sit facilis accusamus fuga.,فاشلة,
95,599,سحب,1609.25,2025-06-13 08:03:32.498672,Occaecati eveniet laborum nam cum veritatis animi.,معلقة,
96,993,سحب,1507.66,2025-01-14 04:15:23.904411,Voluptas neque sint eligendi.,ناجحة,
97,665,تحويل,2207.96,2023-03-27 22:13:51.023987,Maiores voluptates velit est eveniet quia.,ناجحة,173.0
98,934,إيداع,3120.64,2025-07-20 11:33:21.945153,Quisquam esse magni repellat.,فاشلة,
99,801,تحويل,671.29,2025-07-26 11:47:28.358317,Ipsum tempora quos enim.,ناجحة,836.0
100,76,إيداع,2082.15,2022-08-30 11:59:32.841814,Eaque laboriosam temporibus laborum quis quas esse.,ناجحة,
101,534,دفع فواتير,1216.33,2023-12-17 04:28:34.163332,Minima quae id a.,فاشلة,
102,962,دفع فواتير,444.48,2025-07-10 01:56:56.231897,Porro voluptates asperiores.,ناجحة,
103,349,تحويل,4714.32,2025-01-01 20:42:44.673457,Voluptatem quasi ducimus nemo explicabo nobis neque.,ناجحة,419.0
104,759,إيداع,2734.99,2025-05-01 21:28:14.151816,Nostrum voluptatem molestiae consequuntur accusamus beatae soluta veritatis.,فاشلة,
105,149,تحويل,3341.87,2025-02-05 10:11:43.747949,Quaerat quidem exercitationem cupiditate inventore.,فاشلة,256.0
106,717,إيداع,2289.36,2025-07-02 06:55:40.064080,Voluptatem error voluptas maxime.,معلقة,
107,457,سحب,3613.8,2024-11-11 23:14:15.085542,Vitae fugiat perferendis qui ducimus.,فاشلة,
108,663,سحب,2886.52,2025-07-20 20:40:11.505562,Incidunt praesentium qui voluptatem quis.,ناجحة,
109,274,إيداع,2160.3,2024-11-20 17:35:55.774169,Deserunt assumenda delectus id.,ناجحة,
110,664,تحويل,3783.75,2025-06-10 18:34:27.576881,Ducimus voluptate sunt dolor saepe voluptates.,فاشلة,432.0
111,99,إيداع,3485.04,2025-07-16 05:11:01.679922,Eum facilis suscipit molestias eos occaecati repudiandae.,فاشلة,
112,171,دفع فواتير,4137.45,2023-12-01 07:41:44.601136,Consequatur dolorum iste mollitia magnam.,ناجحة,
113,938,دفع فواتير,3508.17,2025-01-01 14:19:44.793341,Totam impedit quas nobis.,ناجحة,
114,941,إيداع,2798.73,2022-10-30 15:46:08.470296,Ea repudiandae quidem quas.,معلقة,
115,345,إيداع,775.85,2024-05-28 10:15:14.768084,Est nesciunt quae cupiditate explicabo facilis commodi.,فاشلة,
116,861,إيداع,492.14,2025-07-25 15:34:37.099679,Eligendi odit totam earum.,ناجحة,
117,837,إيداع,3946.99,2024-06-12 23:45:37.075673,Dicta minus reprehenderit suscipit.,ناجحة,
118,872,سحب,1237.54,2024-05-03 12:57:42.232251,Nostrum officia doloremque cupiditate totam exercitationem.,ناجحة,
